id,claude-opus-5 [max]/correct,claude-opus-5 [xhigh]/correct,claude-opus-5 [high]/correct,gpt-5.6-sol [max]/correct,gpt-5.6-sol [xhigh]/correct,claude-fable-5 [xhigh]/correct,claude-fable-5 [max]/correct,gpt-5.6-terra [max]/correct,gpt-5.6-sol [high]/correct,claude-opus-5 [medium]/correct,claude-fable-5 [high]/correct,kimi-k3 [max]/correct,gpt-5.6-luna [max]/correct,gpt-5.5 [xhigh]/correct,claude-fable-5 [medium]/correct,gpt-5.5 [high]/correct,gpt-5.6-sol [medium]/correct,gpt-5.6-terra [xhigh]/correct,claude-fable-5 [low]/correct,claude-opus-4.8 [max]/correct,claude-opus-5 [low]/correct,qwen3.8-max [xhigh]/correct,gpt-5.6-luna [xhigh]/correct,muse-spark-1.2 [xhigh]/correct,claude-opus-4.8 [xhigh]/correct,gpt-5.5 [medium]/correct,claude-sonnet-5 [max]/correct,grok-4.5 [high]/correct,gpt-5.6-terra [high]/correct,deepseek-v4-flash [max]/correct,muse-spark-1.1 [xhigh]/correct,gpt-5.4 [xhigh]/correct,claude-opus-4.8 [high]/correct,claude-sonnet-5 [xhigh]/correct,claude-opus-4.8 [medium]/correct,gemini-3.6-flash [high]/correct,claude-sonnet-5 [high]/correct,gpt-5.6-sol [low]/correct,gpt-5.6-luna [high]/correct,glm-5.2 [max]/correct,claude-opus-4.8 [low]/correct,claude-sonnet-5 [medium]/correct,gemini-3.5-flash [medium]/correct,glm-5.2 [high]/correct,gpt-5.6-terra [medium]/correct,kimi-k2.7-code/correct,claude-sonnet-5 [low]/correct,claude-sonnet-4.6 [high]/correct,gpt-5.5 [low]/correct,gpt-5.6-terra [low]/correct,gemini-3.1-pro [high]/correct,gpt-5.6-luna [medium]/correct,gpt-5.6-luna [low]/correct,difficulty
bandit-incremental-cache-control,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.75,0.5,1.0,0.75,0.75,0.75,1.0,0.75,0.5,0.75,0.5,1.0,0.5,0.5,0.75,0.5,0.75,0.5,1.0,0.75,0.5,0.25,0.25,0.25,1.0,0.5,0.75,0.0,0.25,0.25,0.75,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,level0
bandit-interprocedural-taint-checks,0.25,0.75,0.0,1.0,1.0,1.0,0.3333,0.75,1.0,0.0,1.0,0.75,1.0,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0.25,0.25,0.75,0.75,0.75,0.0,1.0,0.5,0.25,1.0,1.0,0.75,0.5,1.0,0.5,0.0,1.0,0.75,0.25,0.5,0.5,0.5,0.25,0.5,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,level0
bandit-structured-nosec-directives,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,level0
boa-hierarchical-evaluation-cancellation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5,0.75,0.75,0.75,1.0,1.0,0.75,0.5,0.5,0.5,0.25,1.0,0.5,0.25,0.5,0.25,0.75,0.5,0.0,0.0,0.5,0.75,1.0,0.25,0.5,0.0,0.25,0.25,0.0,0.5,0.5,0.25,0.25,0.0,0.25,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,level0
cattrs-partial-structuring-recovery,0.25,0.25,0.75,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.75,1.0,0.75,0.75,1.0,0.75,1.0,0.75,1.0,1.0,0.5,0.75,0.5,0.75,0.25,0.75,0.0,1.0,1.0,0.5,0.75,0.5,0.75,0.0,0.5,0.5,0.25,0.75,0.5,0.75,0.0,0.25,0.5,0.75,0.5,0.5,0.0,0.75,0.5,0.5,0.25,0.0,0.0,level0
clack-async-autocomplete-options,0.75,0.5,1.0,0.0,0.0,0.75,0.5,0.0,0.0,1.0,0.5,0.25,0.0,0.0,1.0,0.0,0.25,0.0,1.0,0.5,1.0,0.0,0.0,0.5,0.25,0.25,0.5,0.75,0.75,0.0,0.25,0.0,0.5,0.5,0.25,0.5,0.75,0.25,0.25,0.25,0.0,0.5,0.75,0.25,0.5,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,level0
claude-code-by-agents-recursive-delegation,0.25,0.25,0.75,0.5,0.75,0.25,0.0,1.0,1.0,0.5,0.25,0.0,1.0,0.5,0.25,0.25,1.0,1.0,0.5,0.25,0.0,0.25,0.5,1.0,0.25,0.25,0.0,0.25,1.0,1.0,0.5,1.0,0.25,0.25,0.75,1.0,0.25,1.0,0.5,0.5,0.75,0.0,0.75,0.5,1.0,0.5,0.75,0.75,0.25,1.0,0.5,0.25,0.5,level0
cliffy-config-file-parsing,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.75,0.5,0.25,1.0,0.0,0.5,1.0,0.5,0.75,1.0,0.25,0.25,0.0,0.25,0.0,0.25,0.75,0.75,0.75,0.0,0.0,0.0,0.5,0.75,1.0,0.25,1.0,0.5,0.5,0.5,0.25,0.0,0.25,0.75,0.0,0.25,0.75,0.25,0.0,0.0,0.0,0.0,level0
csstree-shorthand-expansion-compression,0.0,0.0,0.25,1.0,1.0,0.0,0.3333,1.0,1.0,0.25,0.5,0.5,0.5,0.5,0.0,0.5,0.75,0.75,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.75,0.75,0.25,0.5,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,level0
dasel-html-document-format,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.0,0.75,1.0,1.0,1.0,0.25,0.75,1.0,0.25,0.0,0.25,1.0,1.0,1.0,0.5,0.0,0.5,1.0,0.25,0.6667,0.5,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.75,0.25,0.0,1.0,0.25,0.25,0.0,1.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,level0
dateutil-rfc5545-timezone-interop,0.75,0.5,0.75,0.5,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.5,1.0,0.5,0.0,0.75,1.0,0.5,0.0,0.25,0.25,0.25,0.75,0.25,0.5,0.75,0.0,0.75,0.5,0.5,0.75,0.0,0.5,0.25,0.0,0.75,0.0,0.5,0.25,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,level0
drizzle-orm-window-function-builders,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.75,1.0,1.0,1.0,0.75,0.5,1.0,1.0,1.0,1.0,0.75,0.5,1.0,0.75,0.75,0.75,0.25,0.5,0.75,0.0,0.5,0.0,level0
dynamodb-toolbox-conditional-attribute-requirements,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.3333,1.0,1.0,1.0,1.0,0.75,1.0,0.75,1.0,0.5,0.5,0.75,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.75,1.0,0.5,0.25,1.0,0.25,0.5,0.0,0.5,0.5,0.25,0.0,0.0,0.0,0.0,0.0,level0
dynamodb-toolbox-lazy-recursive-schemas,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.75,1.0,0.75,1.0,1.0,0.5,0.5,0.5,1.0,0.25,0.5,0.75,0.75,1.0,0.5,0.75,0.75,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.75,0.25,0.0,0.0,0.0,0.25,level0
effect-sse-httpapi-streaming,0.5,0.75,0.25,0.5,0.25,0.5,0.25,0.25,0.5,0.25,0.0,0.0,0.25,0.5,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,level0
eicrud-keyset-pagination-cursor,0.75,1.0,0.75,0.5,0.5,0.25,0.0,0.75,0.25,0.25,1.0,0.75,0.75,0.25,1.0,0.25,0.0,0.0,1.0,0.5,0.25,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.25,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.75,0.25,0.0,0.25,0.75,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,level0
etree-xml-diff-patch,1.0,1.0,0.5,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,0.75,1.0,0.0,1.0,0.75,0.75,1.0,0.75,0.25,1.0,1.0,0.5,0.0,1.0,0.5,0.5,1.0,0.25,1.0,0.75,1.0,0.5,0.75,0.25,0.25,0.5,1.0,0.5,0.75,0.25,0.0,0.75,0.5,0.25,0.5,0.0,0.0,0.0,0.0,level0
expr-try-catch-errors,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,0.75,0.75,0.75,0.75,0.25,0.75,0.5,0.5,0.0,0.75,0.0,0.75,0.5,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,level0
fastapi-deprecation-response-headers,1.0,0.75,0.75,0.75,0.5,1.0,1.0,0.75,0.5,0.75,1.0,1.0,0.25,1.0,1.0,0.75,0.5,0.25,0.25,0.5,1.0,1.0,0.5,0.25,0.25,1.0,0.25,0.5,0.5,0.25,0.0,1.0,0.25,0.0,0.0,0.5,0.25,0.75,0.25,1.0,0.0,0.0,0.5,0.25,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,level0
fastapi-implicit-head-options,1.0,0.75,0.5,0.75,1.0,1.0,0.6667,0.75,0.5,0.75,1.0,1.0,1.0,1.0,0.75,0.25,0.75,1.0,0.0,1.0,0.75,1.0,0.75,0.0,0.75,1.0,1.0,0.0,0.75,0.25,0.25,0.25,0.5,0.25,0.25,1.0,0.25,0.5,0.5,0.5,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,level0
fd-deterministic-multi-key-sorting,1.0,1.0,0.5,1.0,1.0,1.0,0.75,1.0,1.0,0.5,0.6667,1.0,1.0,0.75,1.0,0.5,1.0,1.0,0.3333,0.75,0.0,0.25,1.0,1.0,0.5,0.0,0.5,0.5,1.0,0.75,0.25,0.5,0.25,1.0,0.0,0.25,1.0,0.5,0.5,0.25,0.0,0.5,0.75,0.25,1.0,0.0,0.25,0.75,0.0,0.75,0.25,0.0,0.0,level0
geo-shapeindex-serialization,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.5,1.0,0.5,0.25,1.0,0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.25,0.0,0.75,0.75,1.0,0.75,0.0,0.75,0.5,1.0,0.25,0.75,1.0,1.0,0.25,0.25,1.0,0.0,0.5,0.25,level0
go-critic-doc-link-checker,1.0,0.75,0.75,0.75,0.75,0.5,0.25,1.0,0.5,0.75,0.5,0.5,1.0,1.0,0.75,1.0,1.0,0.75,0.75,0.0,0.25,0.0,0.75,0.75,0.25,1.0,0.25,0.0,1.0,0.0,0.5,0.0,0.25,0.0,0.25,0.75,0.0,0.75,0.5,0.75,0.75,0.25,0.5,0.0,0.25,0.25,0.25,0.75,1.0,0.0,0.25,0.0,0.0,level0
go-genai-streamed-function-args,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,0.75,0.5,0.75,1.0,0.75,1.0,0.5,0.75,0.0,0.25,0.5,0.5,0.5,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,level0
go-git-worktree-merge-conflicts,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,1.0,1.0,1.0,0.5,0.5,0.75,1.0,1.0,0.75,0.75,0.0,1.0,0.75,0.75,0.75,0.5,1.0,0.25,0.25,0.25,0.75,0.25,0.75,1.0,1.0,0.0,1.0,0.75,0.5,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,level0
goreleaser-retry-publish-auditing,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.75,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,1.0,0.75,0.5,1.0,0.5,1.0,1.0,0.75,1.0,0.75,0.25,1.0,0.5,0.25,0.75,0.75,0.75,0.25,1.0,1.0,0.25,0.25,0.0,level0
gql-incremental-graphql-delivery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,level0
happy-dom-abort-pending-body-reads,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5,1.0,1.0,0.75,0.25,1.0,0.0,level0
happy-dom-deterministic-intersectionobserver,0.5,1.0,0.75,0.25,0.25,1.0,1.0,0.25,1.0,0.0,0.6667,0.75,0.0,0.0,0.0,0.25,0.75,0.0,0.75,0.25,0.5,0.5,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.75,0.25,0.25,0.0,0.5,0.25,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.25,0.0,level0
helm-array-merge-strategies,0.5,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.5,0.0,0.0,0.5,0.0,0.5,0.25,0.0,0.5,0.5,0.0,0.75,0.25,0.5,0.25,0.0,0.0,0.25,0.25,0.5,0.0,0.5,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,level0
helm-unified-manifest-stream,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.75,1.0,1.0,0.5,0.5,1.0,0.75,1.0,0.75,1.0,0.5,1.0,0.5,0.75,0.5,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.75,1.0,1.0,0.75,0.5,0.5,0.75,0.0,0.0,level0
httpx-deterministic-cookie-store,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.75,1.0,0.75,0.75,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.5,0.75,1.0,1.0,0.75,0.5,0.75,0.25,1.0,0.75,0.75,0.25,0.0,0.5,0.0,level0
httpx-multipart-response-parsing,1.0,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.5,0.5,0.75,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.75,0.25,0.25,0.25,0.0,0.25,1.0,0.75,0.0,0.75,1.0,0.0,0.75,1.0,0.25,0.25,0.5,0.75,0.75,0.25,0.5,0.0,level0
httpx-streaming-json-iteration,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.75,1.0,0.25,0.25,0.25,0.25,0.75,0.5,0.25,1.0,0.25,0.25,0.25,0.25,0.5,0.5,1.0,0.0,0.75,0.25,0.5,0.5,0.75,1.0,0.0,0.0,0.5,0.25,0.5,0.25,0.75,0.0,0.25,0.25,0.5,0.5,0.0,1.0,0.75,0.25,0.25,0.5,0.5,0.0,0.25,0.0,level0
igel-persist-feature-schema,0.5,0.0,0.25,0.0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,0.75,0.25,0.0,0.75,0.5,0.75,0.0,0.6667,1.0,0.75,0.25,0.0,0.25,0.25,0.0,1.0,1.0,0.75,0.5,0.75,0.5,1.0,0.75,0.75,0.0,1.0,0.25,0.25,0.75,0.25,1.0,0.75,1.0,0.5,0.0,1.0,0.0,0.25,0.5,0.0,0.25,0.0,level0
ink-grid-box-layout,0.0,0.0,0.0,0.75,0.75,0.25,0.25,0.5,0.5,0.25,0.3333,0.5,0.75,0.25,0.5,0.75,0.25,0.75,0.3333,0.0,0.25,0.5,0.0,0.75,0.0,0.25,0.25,0.25,0.5,0.0,0.75,0.25,0.0,0.5,0.0,0.25,0.75,0.0,0.25,0.5,0.25,1.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,level0
ipython-session-bundle-replay,1.0,1.0,0.75,1.0,1.0,0.75,0.75,0.75,0.75,1.0,0.5,0.75,0.5,0.25,0.25,0.5,1.0,1.0,0.0,0.75,0.25,0.25,0.75,0.75,0.5,0.75,1.0,0.25,0.25,0.75,1.0,0.0,0.75,0.5,0.0,0.5,0.5,1.0,0.75,0.75,0.0,0.5,1.0,0.25,1.0,0.0,0.25,0.0,1.0,0.75,0.75,0.5,0.0,level0
katex-multicolumn-array-spans,0.75,0.75,0.75,0.75,0.5,1.0,0.5,0.5,0.75,0.5,0.25,0.75,0.25,0.0,1.0,0.25,0.5,0.25,0.5,0.25,0.25,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.25,0.5,0.25,0.25,0.5,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,level0
kcp-go-multiplexed-kcp-streams,0.0,1.0,0.6667,1.0,1.0,1.0,0.6667,1.0,1.0,0.3333,1.0,0.75,0.75,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.0,1.0,0.3333,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.75,0.75,0.5,0.5,0.5,1.0,0.0,1.0,1.0,0.75,0.5,0.25,1.0,0.75,0.5,0.25,0.0,level0
kea-atomic-signal-selectors,0.75,0.75,0.75,0.75,1.0,0.25,0.0,0.25,0.75,0.25,0.0,0.25,0.0,0.75,0.25,0.75,0.75,0.0,0.5,0.0,0.5,0.25,0.0,0.0,0.3333,0.75,0.0,0.25,0.5,0.25,0.0,0.75,0.5,0.0,0.75,0.25,0.25,0.75,0.0,0.5,0.75,0.5,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,level0
kgateway-consistent-hash-policy,0.25,0.5,0.5,0.0,0.25,0.5,0.5,0.25,0.5,0.25,1.0,1.0,0.75,0.5,0.0,0.5,0.0,0.0,0.75,0.5,0.0,0.75,0.75,0.5,0.75,1.0,0.75,0.5,0.5,0.5,0.0,0.75,1.0,0.75,0.75,0.0,0.25,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,level0
kombu-single-active-consumer-priority,1.0,0.75,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,0.25,0.5,1.0,0.5,0.75,1.0,0.5,0.5,0.25,0.5,0.75,0.75,0.25,0.75,1.0,0.0,0.5,0.25,0.25,0.5,0.25,0.75,0.0,1.0,0.75,0.0,1.0,0.75,0.0,1.0,0.0,0.5,0.25,0.5,0.25,0.0,0.0,0.75,0.0,0.0,0.25,0.0,level0
